id,function_name,codeFunctions,originalComment,codeComment
1501,make_fastmcp_streamable_http_app,"def make_fastmcp_streamable_http_app():
    

    mcp = FastMCP(name=""NoAuthServer"")

    # Add a simple tool
    @mcp.tool(description=""A simple echo tool"")
    def echo(message: str) -> str:
        return f""Echo: {message}""

    # Create the StreamableHTTP app
    app: Starlette = mcp.streamable_http_app()

    return mcp, app",Create a FastMCP server with StreamableHTTP transport.,??? Create a streamable HTTP app with an echo tool using FastMCP ???
1502,delete_namespace,"def delete_namespace(self, namespace: str):
        
        try:
            self.core_v1_api.delete_namespace(name=namespace)
            self.wait_for_namespace_deletion(namespace)
            print(f""Namespace '{namespace}' deleted successfully."")
        except ApiException as e:
            if e.status == 404:
                print(f""Namespace '{namespace}' not found."")
            else:
                print(f""Error deleting namespace '{namespace}': {e}"")",Delete a specified namespace.,???Delete a specified namespace and handle potential errors.???
1503,log_memory_summary,"def log_memory_summary(self, curr_snapshot_dir):
        
        summary = torch.cuda.memory_summary(device=None, abbreviated=False)
        allocated_memory = torch.cuda.memory_allocated()

        # Save the memory summary to a file
        with open(f""{curr_snapshot_dir}/rank{self.world_info.rank}_memory_summary.txt"", ""w"") as summary_file:
            summary_file.write(summary)

        # Save the allocated memory as a text log
        with open(f""{curr_snapshot_dir}/rank{self.world_info.rank}_memory_allocated.txt"", ""w"") as alloc_file:
            alloc_file.write(f""Allocated memory: {allocated_memory / 1024 ** 2:.2f} MB\n"")

        # log this information using the logger
        self.logger.info(f""Memory summary and allocation saved for rank {self.world_info.rank} at step {self.step_num}"")",Log memory summary and memory allocated,???Log and save GPU memory usage summary and allocation details to files.???
1504,mcp_to_gemini_tool,"def mcp_to_gemini_tool(tool: McpTool) -> types.Tool:
  
  return types.Tool(
      function_declarations=[{
          ""name"": tool.name,
          ""description"": tool.description,
          ""parameters"": types.Schema.from_json_schema(
              json_schema=types.JSONSchema(
                  **_filter_to_supported_schema(tool.inputSchema)
              )
          ),
      }]
  )",Translates an MCP tool to a Google GenAI tool.,???Convert MCP tool to Gemini tool format with schema adaptation.???
1505,get_dummy_request,"def get_dummy_request(project_id: str) -> CountTokensRequest:
    
    return CountTokensRequest(
        contents=[{""role"": ""user"", ""parts"": [{""text"": ""Hi""}]}],
        endpoint=f""projects/{project_id}/locations/global/publishers/google/models/gemini-2.0-flash"",
    )",Creates a simple test request for Gemini.,???Create a token count request for a specific project using a predefined message template.???
1506,inspect_tool_executor,"def inspect_tool_executor():
    
    print(""\n⚡ Inspecting ToolExecutor..."")
    
    try:
        from chuk_tool_processor.execution.tool_executor import ToolExecutor
        
        sig = inspect.signature(ToolExecutor.__init__)
        print(f""   ToolExecutor.__init__ signature: {sig}"")
        
        for param_name, param in sig.parameters.items():
            if param.default != inspect.Parameter.empty:
                print(f""   - {param_name} default: {param.default}"")
                
        print(f""   ToolExecutor source: {inspect.getfile(ToolExecutor)}"")
        
    except ImportError as e:
        print(f""   Could not import ToolExecutor: {e}"")",Inspect ToolExecutor for timeout settings.,???Inspect and display ToolExecutor's initialization signature and source file path.???
1507,_get_server_port,"def _get_server_port(self) -> int:
        
        # Use requested port if specified
        if self.requested_port is not None:
            if not self._check_port_available(self.requested_port):
                raise RuntimeError(f""Requested port {self.requested_port} is not available"")
            return self.requested_port

        # Find a free port
        for _ in range(10):  # Try up to 10 times
            port = random.randint(49152, 65535)
            if self._check_port_available(port):
                return port

        raise RuntimeError(""Could not find an available port"")",Get an available port for the server.,"???Determine an available server port, using a requested one if possible.???"
1508,validate_project_ref,"def validate_project_ref(cls, v: str) -> str:
        
        if v.startswith(""127.0.0.1""):
            # Local development - allow default format
            return v

        # Remote project - must be 20 chars
        if len(v) != 20:
            logger.error(""Invalid Supabase project ref format"")
            raise ValueError(
                ""Invalid Supabase project ref format. ""
                ""Remote project refs must be exactly 20 characters long. ""
                f""Got {len(v)} characters instead.""
            )
        return v",Validate the project ref format.,???Validate project reference format for local or remote environments???
1509,objects,"def objects(grid: Grid, univalued: Boolean, diagonal: Boolean, without_bg: Boolean) -> Objects:
    
    bg = mostcolor(grid) if without_bg else None
    objs = set()
    occupied = set()
    h, w = len(grid), len(grid[0])
    unvisited = asindices(grid)
    diagfun = neighbors if diagonal else dneighbors
    for loc in unvisited:
        if loc in occupied:
            continue
        val = grid[loc[0]][loc[1]]
        if val == bg:
            continue
        obj = {(val, loc)}
        cands = {loc}
        while len(cands) > 0:
            neighborhood = set()
            for cand in cands:
                v = grid[cand[0]][cand[1]]
                if (val == v) if univalued else (v != bg):
                    obj.add((v, cand))
                    occupied.add(cand)
                    neighborhood |= {(i, j) for i, j in diagfun(cand) if 0 <= i < h and 0 <= j < w}
            cands = neighborhood - occupied
        objs.add(frozenset(obj))
    return frozenset(objs)",objects occurring on the grid,???Identify distinct objects in a grid based on connectivity and value criteria.???
1510,get_log_summary,"def get_log_summary(self, markdown=False):
        
        if self.response:
            if self.response.get(""data_visualization_function_path""):
                log_details = f
                if markdown:
                    return Markdown(log_details)
                else:
                    return log_details","Logs a summary of the agent's operations, if logging is enabled.","???Returns a log summary, optionally formatted in Markdown, based on response data.???"
